番号,単語,発音記号,品詞,意味,補足,例文,例文訳
3284,continuously,/kənˈtɪnjuəsli/,副詞,継続的に、絶え間なく、連続して,途中で途切れることなく、ずっと「継続して行われる」様子。形容詞は continuous。,,
3285,heighten,/ˈhaɪtn/,動詞,高める、高まる、増す、強調する,名詞 height（高さ）に動詞化接尾辞 -en が付いたもの。意識、能力、警戒心、緊張感などを「高める」ことを表します（例: heighten tension: 緊張感を高める）。,,
3286,notify,/ˈnoʊtɪfaɪ/,動詞,通知する、知らせる、届け出る,人に正式な情報や決定を「知らせる」こと（例: notify the winners: 当選者に通知する）。名詞形は notification。,,
3287,overdo,/ˌoʊvərˈduː/,動詞,やりすぎる、やりすぎて疲れる、（食べ物を）焼きすぎる,do（行う）を over（超えて）することから、限度を超えて「やりすぎる」ことを指します（例: don't overdo it: 無理をしないで）。過去形 overdid、過去分詞 overdone。,,
3288,overestimate,/ˌoʊvərˈestɪmeɪt/,動詞、名詞,【動】過大評価する、見積もりすぎる<br>【名】過大評価,estimate（評価する）を over（超えて）することから、能力や数値を「高く見積もりすぎる（過大評価する）」ことを意味します。反対語は underestimate。,,
3289,simplify,/ˈsɪmplɪfaɪ/,動詞,単純にする、簡素化する、分かりやすくする,形容詞 simple（単純な）の動詞形。複雑な手続きや説明を「分かりやすく、単純にする」こと。,,
3290,wrinkle,/ˈrɪŋkl/,名詞、動詞,【名】（皮膚や布などの）しわ、妙案、コツ<br>【動】しわを寄せる、しわが寄る,加齢による皮膚の「しわ（wrinkles）」や、服の「しわ」を指します。最初の w は発音されません（黙字）。,,
3291,conspire,/kənˈspaɪər/,動詞,共謀する、陰謀を企てる,複数人が裏で「共謀して悪いことを計画する」こと。また「様々な要素が重なって（不都合な）結果を招く」という比喩でも使われます。名詞形は conspiracy。,,
3292,inhale,/ɪnˈheɪl/,動詞,息を吸い込む、吸入する,肺に空気や煙などを「吸い込む」こと。反対語は exhale（息を吐き出す）。,,
3293,overrate,/ˌoʊvərˈreɪt/,動詞,過大評価する、うぬぼれる,rate（評価する）を over（超えて）することから、実力以上に「過大評価する」ことを意味します。反対語は underrate（過少評価する）。,,
3294,sympathize,/ˈsɪmpəθaɪz/,動詞,同情する、共感する、賛成する,相手の苦しみや悲しみに「同情する（sympathize with 〜）」こと。名詞形は sympathy（同情、共感）。,,
3295,glide,/ɡlaɪd/,動詞、名詞,【動】滑るように進む、滑空する<br>【名】滑走、滑空,鳥が羽を広げて風に乗りスムーズに飛ぶ「滑空」や、物や人が摩擦を感じさせず静かに滑らかに「移動する」動作。,,
3296,simmer,/ˈsɪmər/,動詞、名詞,【動】コトコト煮る、沸騰寸前である、怒りがこみ上げる<br>【名】コトコト煮える状態,料理において、グツグツ沸騰させずに弱火で「コトコト煮込む」こと。また比喩的に「怒りが爆発寸前で燻る」ことも表します（例: simmering anger）。,,
3297,thaw,/θɔː/,動詞、名詞,【動】（氷や雪が）溶ける、解凍する、（関係が）和らぐ<br>【名】融雪、雪解け、緊張緩和,凍っていた氷や冷凍食品が「溶ける（解凍される）」ことを表します。また、冷え切っていた人間関係や国家間の対立が「和らぐ、融和する」という意味でもよく使われます。,,
3298,puncture,/ˈpʌŋktʃər/,名詞、動詞,【名】（タイヤの）パンク、穿刺、小さな穴<br>【動】（穴を開けて）パンクさせる,釘などが刺さってタイヤに小さな穴が開き「パンクする」こと。イギリス英語でタイヤのパンクを指す名詞として代表的です（アメリカ英語では flat tire が一般的）。,,
3299,strangle,/ˈstræŋɡl/,動詞,首を絞める、窒息死させる、抑圧する、阻害する,手などで喉を締め上げて「絞め殺す」物理的な意味のほか、規制などによって産業やアイデアの「芽を摘む、息の根を止める」比喩表現でも頻出します。,,
3300,oppression,/əˈpreʃn/,名詞,圧政、抑圧、虐げ、重苦しさ,動詞 oppress（厳しく支配する、抑圧する）の名詞形。権力などを用いて人々の自由を理不尽に制限すること。,,
3301,collaboration,/kəˌlæbəˈreɪʃn/,名詞,共同作業、協力、コラボレーション、合作,複数の人や組織が共通の目的のために一緒に働くこと。動詞 collaborate（共同で行う、協力する）の名詞形。,,
3302,lawn,/lɔːn/,名詞、動詞,【名】芝生、芝地<br>【動】芝生を植える,庭や公園などの手入れされた「芝生（のエリア）」。芝刈り機は lawn mower。,,
3303,racism,/ˈreɪsɪzəm/,名詞,人種差別、人種偏見、人種主義,名詞 race（人種）に基づく不当な差別や偏見を指します。人種差別主義者は racist。,,
3304,bug,/bʌɡ/,名詞、動詞,【名】（小さな）虫、不具合（バグ）、感染症<br>【動】盗聴する、イライラさせる,プログラムの「バグ（不具合）」や、ウイルスによるちょっとした「感染症（例: stomach bug: お腹の風邪）」、小さな虫を指します。,,
3305,dirt,/dɜːrt/,名詞、形容詞,【名】泥、土、汚れ、ホコリ、醜聞<br>【形】未舗装の,汚れやホコリのほかに、未舗装の道路を dirt road（砂利道、土の道）と呼び、口語で他人の「ゴシップ・不祥事」を指すこともあります。,,
3306,certainty,/ˈsɜːrtnti/,名詞,確実性、確かさ、確実なこと,形容詞 certain（確実な、確信している）の名詞形（例: with certainty: 確信を持って）。,,
3307,imbalance,/ɪmˈbæləns/,名詞,不均衡、アンバランス、偏り,balance（均衡）に否定の接頭辞 im- が付いたもの。調和が取れておらず、どちらか一方に偏っている状態（例: trade imbalance: 貿易不均衡）。,,
3308,incidence,/ˈɪnsɪdəns/,名詞,（悪事や病気などの）発生率、発生（頻度）,特に病気、犯罪、事故などの好ましくない事象が「発生する頻度や割合」を指します（例: the incidence of cancer: がんの発生率）。,,
3309,pit,/pɪt/,名詞、動詞,【名】大きな穴、果物の種、ピット（作業場）<br>【動】穴をあける、対抗させる,地面に掘られた「窪み、大きな穴」のほか、桃などの「硬い種」を指します。pit A against B で「AをBと戦わせる、対抗させる」というイディオムが重要です。,,
3310,undergraduate,/ˌʌndərˈɡrædʒuət/,名詞、形容詞,【名】（大学の）学部生<br>【形】学部生の、大学在学中の,学士号（Bachelor's degree）を取得する前の、大学の学部（4年制など）に在籍している学生を指します。大学院生は postgraduate。,,
3311,dictator,/ˈdɪkteɪtər/,名詞,独裁者、専制君主,権力を独占し、武力や抑圧を用いて支配する指導者。独裁国家は dictatorship。動詞 dictate（命令する）から。,,
3312,signature,/ˈsɪɡnətʃər/,名詞、形容詞,【名】（書類などの）署名、サイン、特徴<br>【形】代表的な、特徴的な,契約書などに自筆で書く「署名」。また比喩的に、シェフの「看板料理、代表作（signature dish）」のように、その人を特徴づけるものも指します。,,
3313,testament,/ˈtestəmənt/,名詞,証し、証拠、遺言（書）、聖書（新約・旧約）,a testament to 〜 の形で「〜の生きた証拠である、〜を証明するものである（His success is a testament to his hard work）」として頻出します。,,
3314,attachment,/əˈtætʃmənt/,名詞,添付（ファイル）、愛着、取り付け器具,動詞 attach（貼り付ける）の名詞形。Eメールに添える「添付ファイル」や、物・人に対する「深い愛着（have an attachment to 〜）」を表します。,,
3315,bachelor,/ˈbætʃələr/,名詞,独身男性、学士（学位）,独身の男性（bachelor party など）を指すほか、大学を卒業した際に得られる「学士（学位、Bachelor's degree）」を指します。,,
3316,blister,/ˈblɪstər/,名詞、動詞,【名】水ぶくれ、まめ<br>【動】水ぶくれができる、酷評する,火傷や靴擦れなどによって皮膚の下に液体が溜まってできる「水ぶくれ、まめ」。,,
3317,blockade,/blɑːˈkeɪd/,名詞、動詞,【名】（港や道路などの）封鎖、閉鎖<br>【動】封鎖する、遮断する,主に軍事や紛争などの文脈で、物資や敵の出入りを防ぐために港や境界を「経済的・物理的に封鎖すること」。,,
3318,condo,/ˈcɑːndoʊ/,名詞,分譲マンション、コンドミニアム,condominium（分譲マンション）の日常的な省略形。個人が所有する分譲形式 of 共同住宅を指します。,,
3319,invoice,/ˈɪnvɔɪs/,名詞、動詞,【名】請求書、送り状、インボイス<br>【動】請求書を送る,ビジネス上の売買において、支払うべき金額や購入した内訳を明記して顧客に送る公式な「請求書（明細書）」。,,
3320,procession,/prə ˈseʃn/,名詞,行列、行進、山車の行列,祭り、儀式、葬儀などで、多くの人が一列になって粛々と歩く「行進、パレード」。,,
3321,unrest,/ˌʌnˈrest/,名詞,動揺、不安、不穏な状態、社会不安、暴動,rest（静けさ）に否定の un- が付いたもの。社会や政治的な状況が不安定で、デモや暴動（civil unrest）が起きている「不穏な状態、社会不安」を指します。,,
3322,problematic,/ˌpɑːbləˈmætɪk/,形容詞,問題のある、疑わしい、解決の難しい,名詞 problem（問題）の形容詞形。解決するのが難しく、懸念や論争を引き起こす状態を指します（例: a problematic issue）。,,
3323,desirable,/dɪˈzaɪərəbl/,形容詞,望ましい、好ましい、魅力的な,動詞 desire（強く望む）+ -able から。そうであることが好都合で歓迎される様子（例: highly desirable: きわめて望ましい）。,,
3324,rash,/ræʃ/,名詞、形容詞,【名】発疹、吹き出物、突発的な多発<br>【形】軽率な、無謀な,皮膚にできる「発疹」という意味のほか、比喩的に悪い出来事が「突発的に多発すること（a rash of thefts）」を指します。また形容詞として「軽率な」の意味もあります。,,
3325,uneven,/ʌnˈiːvn/,形容詞,平らでない、凸凹のある、不揃いな、ムラのある,even（平らな、等しい）に否定の un- が付いたもの。地面などが「デコボコしている」ことや、実力やパフォーマンスに「ムラがある」状態を指します。,,
3326,economical,/ˌiːkəˈnɑːmɪkl/,形容詞,経済的な、無駄遣いしない、お得な、倹約的な,無駄なコストがかからず「お財布に優しい、お得な（例: an economical car: 燃費が良い車）」状態を指します。経済全般を表す economic と区別されます。,,
3327,fictional,/ˈfɪkʃənl/,形容詞,架空の、創作の、フィクションの,名詞 fiction（小説、フィクション）の形容詞形。事実に基づかない、物語の中の「作り事、架空の（例: a fictional character）」。,,
3328,lengthy,/ˈleŋθi/,形容詞,非常に長い、だらだらと長引く、冗長な,名詞 length（長さ）の形容詞形。単に長い（long）だけでなく、時間がかかりすぎて「長くてうんざりする、長引く（例: a lengthy process）」というニュアンスを伴います。,,
3329,victorious,/vɪkˈtɔːriəs/,形容詞,勝利を得た、勝ち誇った、勝利の,名詞 victory（勝利）の形容詞形。戦いや競技に勝ち抜いた様子（例: return victorious: 勝利を収めて戻る）。,,
3330,witty,/ˈwɪti/,形容詞,機知に富んだ、気の利いた、ユーモアのある,名詞 wit（知恵、機知）の形容詞形。その場で気の利いたスマートで面白い発言ができる様子。,,
3331,blurry,/ˈblɜːri/,形容詞,ぼやけた、かすんだ、不鮮明な,輪郭がはっきりせず、ぼやけている状態。ピントが合っていない写真や、かすんだ記憶（例: blurry memories）などに使われます。,,
3332,exceptional,/ɪkˈsepʃənl/,形容詞,経験豊富な、格段に優れた、異例の,通常よりも著しく優れている様子や、例外的な状況を指します。,,
3333,finite,/ˈfaɪnaɪt/,形容詞,有限の、制限のある,数量や範囲に明確な限界があること（反対語は infinite: 無限の、例: finite resources: 有限な資源）。,,
3334,on-the-job,/ˌɑːn ðə ˈdʒɑːb/,形容詞,職場での、実務中の、仕事中の,実際の現場で働くことを指します。on-the-job training（OJT、職場内訓練）でおなじみです。,,
3335,cheery,/ˈtʃɪri/,形容詞,陽気な、元気の良い、楽しそうな,cheerful と同様に、明るく朗らかな様子を表します（例: a cheery smile）。,,
3336,cowardly,/ˈkaʊərdli/,形容詞、副詞,【形】臆病な、卑怯な<br>【副】臆病に、卑怯にも,名詞 coward（臆病者）に -ly が付いた形容詞（副詞）。危険や恐怖を前にして立ち向かう勇気がない様子。,,
3337,immeasurable,/ɪˈmeʒərəbl/,形容詞,計り知れない、無数の、無限の,measure（測定する）+ -able に否定の im- が付いたもの。規模、損害、価値などが大きすぎて「測定不可能なほど巨大な」状態。,,
3338,impaired,/ɪmˈperd/,形容詞、動詞（過去形・過去分詞）,障害のある、損なわれた、減退した,動詞 impair（損なう）の過去分詞。身体機能などが正常に働いていない状態を指します（例: hearing impaired: 聴覚障害のある）。,,
3339,impassable,/ɪmˈpæsəbl/,形容詞,通行不可能な、通れない、越えられない,pass（通り抜ける）+ -able に否定の im- が付いたもの。土砂崩れや大雪などにより道路や橋が「通行できない」状態。,,
3340,inactive,/ɪnˈæktɪv/,形容詞,活動していない、休止中の、活気がない,active（活動的な）に否定の in- が付いたもの。アカウントや火山、あるいは人間の体が「稼働していない」状態。,,
3341,inconvenient,/ˌɪnkənˈviːniənt/,形容詞,不便な、不都合な、不都合をかける,convenient（便利な）に否定の in- が付いたもの。都合が悪い時間や、利用しづらい場所などを表します（例: an inconvenient time）。,,
3342,superstitious,/ˌsuːpərˈstɪʃəs/,形容詞,迷信深い、迷信に基づく,科学的な根拠のない超自然的な力を頑なに信じている様子。名詞形は superstition（迷信）。,,
3343,unpleasant,/ʌnˈpleznt/,形容詞,不快な、嫌な、感じの悪い,pleasant（快適な）に否定の un- が付いたもの。におい、気候、人との遭遇などが不快である様子（例: an unpleasant smell）。,,
3344,compress,/kəmˈpres/,動詞、名詞,【動】圧縮する、押し縮める【名】圧迫包帯、湿布,IT分野ではファイルやデータを圧縮する意味で日常的に使われます。,,
3345,decode,/ˌdiːˈkoʊd/,動詞,解読する、復号する,暗号やコード化（encode）されたデータを元の状態に戻すことを指します。,,
3346,offset,/ˈɔːfset/,動詞、名詞,【動】相殺する、埋め合わせる【名】相殺するもの、オフセット,二酸化炭素の排出量を相殺する「カーボンオフセット（carbon offset）」などで馴染みがあります。,,
3347,bid,/bɪd/,動詞、名詞,【動】入札する、値を付ける【名】入札、努力、試み,オークションや公共事業の入札などでよく使われる表現です。,,
3348,inject,/ɪnˈdʒekt/,動詞,注入する、注射する、導入する,液体を注射器で入れるだけでなく、「資金を投入する（inject capital）」のように抽象的な場面でも使われます。,,
3349,mimic,/ˈmɪmɪk/,動詞、名詞,【動】真似る、模倣する【名】物真似が上手い人,ユーモラスに、あるいはからかう意図を持って他人の動作や声を真似る際に使われます。,,
3350,repay,/rɪˈpeɪ/,動詞,返済する、報いる、恩返しをする,借金を返すこと（repay a loan）や、恩を返すこと（repay a kindness）の両方に使えます。,,
3351,overthrow,/ˌoʊvərˈθroʊ/,動詞、名詞,【動】（政府などを）打倒する、転覆させる【名】打倒、転覆,暴力やクーデターなどによって、既存の体制や支配者を力ずくで引きずり下ろすことを意味します。,,
3352,affiliate,/əˈfɪlieɪt/,動詞、名詞,【動】提携する、加入させる【名】関係者、系列会社,日本語の「アフィリエイト（提携プログラム）」の語源であり、ビジネスで系列会社を指すのによく使われます。,,
3353,errand,/ˈerənd/,名詞,使い走り、用事、パシリ,「お使いに行く、用事を済ませる」は run errands というフレーズでよく表現されます。,,
3354,coalition,/ˌkoʊəˈlɪʃn/,名詞,連合、同盟、提携,政党同士が連立政権を作る際などに「coalition government（連立政府）」として頻繁に使われます。,,
3355,influx,/ˈɪnflʌks/,名詞,流入、押し寄せること,人やお金、物などが特定の場所に大量に流れ込むことを指します（an influx of tourists）。,,
3356,app,/æp/,名詞,アプリケーション（ソフト）,application の短縮形で、スマートフォンやPCのアプリを指す日常表現として定着しています。,,
3357,visibility,/ˌvɪzəˈbɪləti/,名詞,視界、目見えること、知名度、露出,悪天候による「視界不良」のほか、ビジネスやマーケティングでの「露出度・注目度」にも使われます。,,
3358,dioxide,/daɪˈɑːksaɪd/,名詞,二酸化物,carbon dioxide（二酸化炭素）の形で使われることが圧倒的に多い単語です。,,
3359,literacy,/ˈlɪtərəsi/,名詞,読み書きの能力、識字率、活用能力,"読み書きだけでなく、特定分野の知識を使いこなす能力（computer literacy, financial literacyなど）も指します。",,
3360,completion,/kəmˈpliːʃn/,名詞,完了、完成、達成,動詞 complete（完了する）の名詞形。プロジェクトや建設工事などの終了に用いられます。,,
3361,livelihood,/ˈlaɪvlihʊd/,名詞,生計、暮らし、生活手段,生きていくための手段としての仕事や収入源を指します（earn a livelihood）。,,
3362,surrounding,/səˈraʊndɪŋ/,形容詞、名詞,【形容】周囲の、取り囲む【名】（～sで）環境、周囲の状況,動詞 surround（囲む）の現在分詞形容詞。名詞で環境を指す場合は通例複数形の surroundings になります。,,
3363,physics,/ˈfɪzɪks/,名詞,物理学,学問名のため末尾に s がつきますが、単数として扱われます。,,
3364,barn,/bɑːrn/,名詞,納屋、家畜小屋、物置,農場で穀物や干し草、家畜などを保管・収容するための大きな建物を指します。,,
3365,daring,/ˈderɪŋ/,形容詞、名詞,【形容】大胆な、勇敢な、斬新な【名】大胆さ、勇気,危険を顧みずに新しいことやリスクのあることに挑戦する、ポジティブなニュアンスを含みます。,,
3366,tragic,/ˈtrædʒɪk/,形容詞,悲劇的な、痛ましい,名詞 tragedy（悲劇）の形容詞形。不慮の事故や災害などで非常に悲しい出来事に対して使われます。,,
3367,sinister,/ˈsɪnɪstər/,形容詞,邪悪な、不吉な、悪意のある,映画の悪役や不穏な雰囲気などを表現する際によく用いられる単語です。,,
3368,plural,/ˈplʊrəl/,形容詞、名詞,【形容】複数の、複数形の【名】複数形,単数の singular の対義語。文法用語として頻出します。,,
3369,minimal,/ˈmɪnɪməl/,形容詞,最小限の、極めて小さい,必要最低限を好む人やライフスタイルを「ミニマリスト（minimalist）」と呼びます。,,
3370,decisive,/dɪˈsaɪsɪv/,形容詞,決定的な、決断力のある、断固たる,物事の結末を決定づけるような要素や（decisive factor）、迷いのない人物の態度を指します。,,
3371,climatic,/klaɪˈmætɪk/,形容詞,気候の、気候上の,名詞 climate（気候）の形容詞形。「絶頂の、クライマックスの」を意味する climactic と区別が必要です。,,
3372,invaluable,/ɪnˈvæljuəbl/,形容詞,計り知れない価値がある、非常に貴重な,接頭辞 in- がついていますが否定ではなく、「価値がつけられないほど（非常に）価値が高い」の意味になります。,,
3373,charitable,/ˈtʃærətəbl/,形容詞,慈善の、慈悲深い、寛大な,慈善団体は charitable organization、他人に寛容な態度は charitable attitude と表現されます。,,
3374,massive,/ˈmæsɪv/,形容詞,巨大な、大量の、極めて重い,物理的な大きさだけでなく、「大規模な損害（massive damage）」など規模の大きさにも使われます。,,
3375,comparable,/ˈcɑːmpərəbl/,形容詞,匹敵する、比較できる、同様の,「同等の価値や規模がある」というニュアンスを含みます。アクセントが最初の o にある点に注意。,,
3376,irrational,/ɪˈræʃənl/,形容詞,不合理な、理性のない、ばかげた,合理的な rational の対義語。感情に流されて筋が通らない行動などを指します。,,
3377,overly,/ˈoʊvərli/,副詞,過度に、あまりにも、過剰に,overly sensitive（神経質すぎる）や overly cautious（慎重すぎる）のように、後ろの形容詞を修飾します。,,
3378,voluntarily,/ˌvɑːlənˈterəli/,副詞,自発的に、自主的に、自ら進んで,強制されず、自身の自由意志によって行動を起こすことを表します。,,
3379,technically,/ˈteknɪkli/,副詞,技術的に、専門的に言えば、厳密に言うと,"会話では「（建前やルール上は）厳密に言えばそうなる」という意味でよく使われます（Technically, yes.）。",,
3380,wholly,/ˈhoʊlli/,副詞,完全に、全面的に、そっくり,entirely や completely と同様に、部分的にではなく全体がその状態であることを示します。,,
3381,uniquely,/juˈniːkli/,副詞,独特な方法で、ユニークに、比類なく,他に類を見ないほど優れていることや、極めて個性的な様子を強調する際に用いられます。,,
3382,clutch,/klʌtʃ/,動詞、名詞、形容詞,【動】ぐっと掴む、ひったくる【名】クラッチ、掴むこと【形】ピンチに強い,スポーツ分野などでは「土壇場で活躍する、ピンチに強い」という意味の口語形容詞としても使われます。,,
3383,enlist,/ɪnˈlɪst/,動詞,（軍隊に）入隊する、協力を得る、参加を求める,自ら軍に入る意味のほか、「他人の助けや支持を取り付ける（enlist someone's help）」でも頻出します。,,
3384,heed,/hiːd/,動詞、名詞,【動】注意を払う、気にとめる【名】注意、留意,忠告や警告に対して「耳を貸す（take heed / pay heed）」という形でよく使われる、やや硬い言葉です。,,
3385,liberate,/ˈlɪbəreɪt/,動詞,解放する、自由にする,抑圧された人々や支配下にある領土、あるいは固定概念などから解き放つ際に用います。,,
3386,overlap,/ˌoʊvərˈlæp/,動詞、名詞,【動】一部重なり合う、重複する【名】重複、共通点,スケジュールや、図形の一部、あるいは意見などが重なり合っている様子を表します。,,
3387,reconstruct,/ˌriːkənˈstrʌkt/,動詞,再建する、復元する、再現する,破壊された建物の再建だけでなく、事件の現場を再現する（reconstruct a crime scene）といった際にも使われます。,,
3388,sprain,/spreɪn/,動詞、名詞,【動】捻挫する、挫く【名】捻挫,手首や足首などの関節を痛めた場合に使います（sprain my ankle で「足首を捻挫する」）。,,
3389,crave,/kreɪv/,動詞,切望する、渇望する、（食べ物を）無性に欲する,強い欲求を表し、特に特定の食べ物や intellectual な要素を無性に求めたくなった時によく使われます。,,
3390,bureau,/ˈbjʊroʊ/,名詞,局、事務局、案内所,FBI（Federal Bureau of Investigation）や観光局（tourist bureau）などの組織名に用いられます。,,
3391,dependency,/dɪˈpendənsi/,名詞,依存、依存症、属領,経済や国家的な「依存関係」のほか、アルコールや薬物などの「依存状態」を指すのにも使われます。,,
3392,discomfort,/dɪsˈkʌmfərt/,名詞、動詞,【名】不快、不安、不便【動】不快にする,comfort（快適さ）の対義語。肉体的な痛みの一歩手前の不快感や、精神的な気まずさを指します。,,
3393,drawback,/ˈdrɔːbæk/,名詞,欠点、障害、不利益,利点に対する「デメリット、マイナス面」を表現する際によく使われる口語・書き言葉共通の単語です。,,
3394,modernization,/ˌmɑːdərnəˈzeɪʃn/,名詞,近代化、現代化,社会や技術、古いシステムなどを最新の基準に合わせるプロセスのことです。,,
3395,ration,/ˈræʃn/,名詞、動詞,【名】配給量、割り当て額【動】配給する、制限する,戦時中や災害時に、食料や燃料などを一定量に制限して配分することを意味します。,,
3396,upbringing,/ˈʌpbrɪŋɪŋ/,名詞,養育、育ち、家庭教育,子供がどのように育てられたかという「しつけ」や「生い立ち」の環境を指します（have a strict upbringing）。,,
3397,excerpt,/ˈeksɜːrpt/,名詞、動詞,【名】抜粋、引用【動】抜粋する、引用する,書籍、音楽、映像などの一部を取り出したものを指します（an excerpt from the book）。,,
3398,downturn,/ˈdaʊntɜːrn/,名詞,下落、衰退、（景気の）後退,upturn（上昇）の対義語。主に経済活動や市場の悪化を指すのに使われます（economic downturn）。,,
3399,anarchy,/ˈænərki/,名詞,無政府状態、混乱、秩序の欠如,法律や指導者がなく、社会的な秩序が完全に崩壊した乱雑な状態を指します。,,
3400,breakup,/ˈbreɪkʌp/,名詞,解散、分裂、破局、別れ,バンドや組織の「解散」のほか、恋人同士や夫婦の「破局・別れ」にも頻繁に使われます。,,
3401,exemption,/ɪɡˈzempʃn/,名詞,免除、控除,税金の免除（tax exemption）などでよく見られるビジネス・公的な用語です。,,
3402,apprentice,/əˈprentɪs/,名詞、動詞,【名】見習い、徒弟、初心者【動】見習いに出す,職人や技術者のもとで技術を学ぶために働く人を指します。,,
3403,questionable,/ˈkwestʃənəbl/,形容詞,疑わしい、不審な、問題のある,真実性や倫理性、品質などについて「疑問を挟む余地がある」というニュアンスを持ちます。,,
3404,outdated,/ˌaʊtˈdeɪtɪd/,形容詞,時代遅れの、旧式の、有効期限切れの,技術やアイデア、衣服などが現代の流行や実用に合わなくなっている様子を表します。,,
3405,forthcoming,/ˌfɔːrθˈkʌmɪŋ/,形容詞,近刊の、来たるべき、隠さず話す,「近日発売の書籍」や「近々開催されるイベント」の意味のほか、「オープンで協力的」という意味もあります。,,
3406,overdue,/ˌoʊvərˈduː/,形容詞,期日を過ぎた、遅れている,図書の返却期限や、請求書の支払期限を過ぎて遅延している状態を指します（overdue books）。,,
3407,conditional,/kənˈdɪʃənl/,形容詞,条件付きの、仮定の,特定の条件が満たされることを前提とした合意などに使われます（conditional offer）。,,
3408,intensive,/ɪnˈtensɪv/,形容詞,集中的な、徹底的な,短期間で集中的に行う学習（intensive course）や、ICU（集中治療室）などで用いられます。,,
3409,exclusive,/ɪkˈskluːsɪv/,形容詞、名詞,【形容】排他的な、高級な、独占的な【名】独占記事,他を排除して特定のグループや個人だけを対象とする様子（exclusive interview = 独占インタビュー）。,,
3410,considerate,/kənˈsɪdərət/,形容詞,思いやりのある、察しが良い、慎重な,他人の感情や状況に配慮できる優しい人を表します。,,
3411,biographical,/ˌbaɪəˈɡræfɪkl/,形容詞,伝記の、経歴の,人の生涯や経歴について書かれた情報などを指します。名詞形は biography。,,
3412,botanical,/bəˈtænɪkl/,形容詞,植物の、植物学の,植物園（botanical garden）などで親しみのある単語です。,,
3413,commendable,/kəˈmendəbl/,形容詞,称賛に値する、立派な,行為や努力が称えられて当然であるという評価です。動詞は commend。,,
3414,filthy,/ˈfɪlθi/,形容詞,非常に汚い、不潔な、不道徳な,単に汚い（dirty）を超えて不快感を催すほど激しく汚れている様子や、下品な言葉遣いに使われます。,,
3415,serene,/səˈriːn/,形容詞,穏やかな、静かな、澄み切った,感情が乱されず落ち着いている様子や、平和で静寂な風景などを表現する言葉です。,,
3416,subsequently,/ˈsʌbsɪkwəntli/,副詞,その後に、後に、それから,ある出来事の後に続いて何かが起こることを示す、やや硬い語彙です。,,
3417,gently,/ˈdʒentli/,副詞,優しく、穏やかに、そっと,動作の乱暴さや強さがなく、丁寧に静かに扱う様子を示します。,,
3418,alongside,/əˌlɔːŋˈsaɪd/,前置詞、副詞,【前】〜と並んで、〜と一緒に【副】並んで、そばに,船が岸壁に沿って並ぶことや、人と肩を並べて協力して働くことを表現します。,,
3419,fabricate,/ˈfæbrɪkeɪt/,動詞,（話などを）でっち上げる、捏造する、製作する,証拠やストーリーを「作り話」として嘘を組み立てる意味で、ニュースなどで頻繁に登場します。,,
3420,allege,/əˈledʒ/,動詞,（sufficientな証拠なしに）主張する、申し立てる,確たる証拠はないものの、「〜であると強く主張する」という意味で、裁判や報道などでよく使われます。,,
3421,underestimate,/ˌʌndərˈestɪmeɪt/,動詞、名詞,【動】過小評価する、低く見積もる【名】過小評価,ライバルの実力や必要な費用・時間を甘く見る際などに使われます。対義語は overestimate。,,
3422,escort,/ˈeskɔːrt/,動詞、名詞,【動】護衛する、同行する【名】護衛、付き添い,安全を守るため、あるいはマナーとして重要人物やパートナーに付き添うことを指します。,,
3423,facilitate,/fəˈsɪlɪteɪt/,動詞,促進する、容易にする、円滑にする,会議や進行をサポートしてスムーズに運ぶ人を「ファシリテーター」と呼びます。,,
3424,initiate,/ɪˈnɪʃieɪt/,動詞、名詞,【動】開始する、手ほどきする、入会させる【名】新入会員,新しいプロジェクト、改革などを自発的に始めることを指します。,,
3425,populate,/ˈpɑːpjuleɪt/,動詞,〜に住む、移住させる、データを設定する,人や動物がその場所に定住することのほか、IT用語として「表にデータを流し込む」際にも使われます。,,
3426,subsidize,/ˈsʌbsɪdaɪz/,動詞,助成金・補助金を与える、支援する,国や自治体が、特定の事業や研究、購入活動に対して金銭的援助をする行為を指します。,,
3427,alternate,/ˈɔːltərneɪt/,動詞、形容詞、名詞,【動】交互に行う、交代する【形】交互の、代わりの【名】代理人,alternate days（1日おき、隔日）や、交流電流（Alternating Current = AC）などに使われます。,,
3428,confer,/kənˈfɜːr/,動詞,相談する、協議する、授与する,他者と相談すること（confer with...）と、学位や賞を与える（confer a degree）という意味があります。,,
3429,discontent,/ˌdɪskənˈtent/,名詞、形容詞、動詞,【名】不慢【形】不満な【動】不満にさせる,content（満足している）の反対語。社会体制やサービスなどに対して抱く不快な感情を指します。,,
3430,foe,/foʊ/,名詞,敵、相手,enemy の文学的な表現ですが、現代でも「friend or foe（友か敵か）」などの決まり文句で使われます。,,
3431,publication,/ˌpʌblɪˈkeɪʃn/,名詞,出版、発行、公表、出版物,書籍、雑誌の発行だけでなく、政府による公式文書の発表や、学術論文の掲載などにも使われます。,,
3432,inmate,/ˈɪnmeɪt/,名詞,収容者、囚人、（精神病院などの）入院患者,主に刑務所に収容されている犯罪者を指して使われることが多い単語です。,,
3433,uproar,/ˈʌprɔːr/,名詞,大騒ぎ、騒動、抗議の嵐,予期せぬ決定などに対して、人々が怒りや驚きで叫び、大騒動になる状況を指します。,,
